mac,exit_datetime,entry_datetime
39:8e:20:c1:f1:cc,2025-04-09 13:05:49,2025-04-09 17:34:49
dc:0c:58:c8:f1:97,2025-04-10 08:49:56,2025-04-10 11:39:56
12:d9:ad:19:f8:5d,2025-03-21 19:03:04,2025-03-21 21:35:04
28:b9:61:91:ae:ec,2025-03-17 18:19:59,2025-03-17 21:31:59
be:4e:6a:4e:83:ed,2025-04-09 14:52:16,2025-04-09 18:55:16
cc:59:5d:28:8e:d7,2025-04-14 14:44:38,2025-04-14 16:31:38
05:cd:e1:99:db:e1,2025-04-12 08:55:38,2025-04-12 11:32:38
ad:14:24:e6:82:73,2025-04-09 07:58:55,2025-04-09 10:43:55
bb:05:bd:c5:e3:56,2025-03-22 07:36:19,2025-03-22 10:49:19
6f:d8:d3:0b:03:ab,2025-03-20 12:15:16,2025-03-20 14:13:16
2c:57:01:30:a1:c3,2025-03-25 17:49:30,2025-03-25 19:39:30
d3:8b:fd:87:a4:2a,2025-04-15 09:59:30,2025-04-15 12:59:30
2d:3a:54:6f:69:8c,2025-04-12 07:34:48,2025-04-12 09:17:48
aa:7f:a5:8a:34:59,2025-04-08 10:46:30,2025-04-08 14:32:30
5f:00:2d:ab:bf:f7,2025-03-21 12:37:13,2025-03-21 13:27:13
7d:a0:ea:81:ca:56,2025-03-22 12:16:36,2025-03-22 15:41:36
8b:de:6f:82:5e:9d,2025-04-02 09:05:20,2025-04-02 12:03:20
70:c7:1a:74:dd:4d,2025-03-25 13:03:38,2025-03-25 14:42:38
4a:c2:51:a5:2d:19,2025-03-30 20:01:47,2025-03-30 23:43:47
66:99:57:53:6f:54,2025-03-22 11:21:30,2025-03-22 15:27:30
cb:72:6b:b8:2f:04,2025-03-19 19:04:22,2025-03-19 20:55:22
c6:51:49:fa:f1:6d,2025-03-27 14:36:20,2025-03-27 16:01:20
8e:b3:b8:00:83:ff,2025-03-23 14:40:10,2025-03-23 14:42:10
23:d3:9d:6e:81:f2,2025-03-25 12:59:12,2025-03-25 15:37:12
cc:48:c7:f6:85:86,2025-04-10 19:36:14,2025-04-10 20:03:14
c8:5b:77:e0:21:36,2025-03-28 11:17:34,2025-03-28 14:10:34
84:6a:91:cb:57:bb,2025-03-27 13:54:51,2025-03-27 16:48:51
72:34:09:37:68:c3,2025-03-17 13:16:13,2025-03-17 14:50:13
54:c3:e1:d8:0f:c6,2025-03-23 14:33:45,2025-03-23 15:25:45
65:f4:4c:3e:ab:cb,2025-03-21 20:22:04,2025-03-21 22:57:04
87:4f:ce:82:ff:b8,2025-03-24 09:39:45,2025-03-24 11:06:45
24:d5:c3:62:11:d5,2025-03-21 18:22:56,2025-03-21 21:19:56
f6:ef:c4:78:f5:56,2025-04-04 14:17:30,2025-04-04 16:14:30
76:57:73:a1:e3:d4,2025-04-15 17:23:58,2025-04-15 17:29:58
6c:9d:f1:a3:fd:de,2025-03-24 10:51:28,2025-03-24 14:02:28
7b:43:74:56:08:03,2025-03-28 16:24:08,2025-03-28 21:08:08
03:a8:05:90:c5:3d,2025-04-04 10:19:12,2025-04-04 11:41:12
56:9c:4a:92:23:bb,2025-04-05 09:28:41,2025-04-05 11:30:41
5d:8a:be:8b:24:55,2025-04-03 18:32:56,2025-04-03 19:28:56
cb:72:6b:b8:2f:04,2025-04-03 18:49:02,2025-04-03 23:00:02
92:c9:cd:77:e0:f9,2025-04-01 13:35:25,2025-04-01 13:49:25
88:c4:52:f5:27:49,2025-03-30 07:36:09,2025-03-30 08:16:09
d3:11:08:93:87:ff,2025-03-24 10:01:58,2025-03-24 10:27:58
39:8e:20:c1:f1:cc,2025-03-17 20:42:06,2025-03-17 22:40:06
2d:a6:70:df:52:66,2025-03-22 16:02:33,2025-03-22 20:13:33
87:d9:54:e6:9c:2d,2025-04-03 12:13:11,2025-04-03 13:47:11
9f:e6:0e:d3:e7:c8,2025-03-18 09:46:08,2025-03-18 10:42:08
49:d5:89:c7:50:90,2025-03-17 18:47:07,2025-03-17 19:35:07
a7:75:e4:aa:ad:17,2025-04-13 17:45:00,2025-04-13 18:30:00
94:87:f7:a0:e6:cc,2025-04-14 12:10:20,2025-04-14 13:30:20
d6:74:a1:2d:c9:57,2025-04-15 14:26:03,2025-04-15 15:02:03
d6:f7:c8:08:68:14,2025-04-08 15:07:30,2025-04-08 16:22:30
a6:fc:2a:3c:73:da,2025-04-05 17:39:55,2025-04-05 20:06:55
30:44:8a:5a:83:a7,2025-04-14 08:56:09,2025-04-14 10:21:09
6d:37:a5:b7:53:9d,2025-03-30 07:47:10,2025-03-30 12:23:10
0a:5b:2b:e0:ae:eb,2025-03-27 07:35:43,2025-03-27 12:17:43
20:5e:98:63:61:ee,2025-04-08 20:55:02,2025-04-08 22:22:02
a2:af:10:dc:f5:d2,2025-04-14 15:15:13,2025-04-14 17:19:13
c8:d8:10:17:1a:f4,2025-03-30 18:16:25,2025-03-30 22:37:25
27:a4:87:a2:01:a1,2025-03-20 18:31:30,2025-03-20 23:20:30
a3:4c:e5:bb:3d:3f,2025-04-13 12:14:42,2025-04-13 16:57:42
03:4e:02:4c:97:44,2025-04-05 12:15:30,2025-04-05 16:32:30
84:6a:91:cb:57:bb,2025-03-27 16:47:07,2025-03-27 20:25:07
c0:2e:ea:66:5d:d8,2025-04-05 17:44:07,2025-04-05 20:11:07
ab:c1:25:76:cb:c9,2025-03-22 17:08:10,2025-03-22 21:05:10
b6:4f:de:2f:59:4d,2025-04-01 11:45:29,2025-04-01 14:19:29
7b:d7:4c:a0:1e:65,2025-04-01 14:12:13,2025-04-01 15:52:13
84:da:44:7e:83:38,2025-03-26 17:27:41,2025-03-26 21:02:41
ad:89:e7:74:9d:80,2025-03-18 11:55:40,2025-03-18 12:28:40
28:b9:61:91:ae:ec,2025-04-03 18:27:11,2025-04-03 21:55:11
a2:98:fd:79:5a:58,2025-03-19 16:21:04,2025-03-19 16:51:04
